Unnamed: 0,Rating,Komentar,Content Quality,Subscription & Pricing,UI/UX,Functionality,Technical & Access
62,1.0,Media yg tidak independen,-1.0,,,,
63,3.0,Kompas jangan jadi kompor,0.0,,,,
64,5.0,Bagus layanan ya bsik,,,,,
65,5.0,Good job Kompas 👍👍,,,,,
66,5.0,Credible...beritanya mendalam. Banyak analisisnya,1.0,,,,
67,5.0,Sopang santung terhadap teman,,,,,
68,5.0,Ingin tau berita dunia,,,,,
69,5.0,Berita no.1 di Indo,1.0,,,,
70,5.0,Terimakasih atas informasinya Bagus,,,,,
71,5.0,KOMPAS MAJU DAN HEBAT,,,,,
72,5.0,Saya belum bisa perbaharui,,,,,
73,5.0,Berita2nya akurat dan lengkap,1.0,,,,
74,5.0,"Sangat update, terima kasih",1.0,,,,
75,1.0,Jelek tidak bisa konek,,,,,-1.0
76,3.0,Oke lah aiing wkwkwk,,,,,
77,1.0,Sangat jelek tidak mendidik...,-1.0,,,,
78,1.0,Banyak iklan daripada berita!,,,-1.0,,
79,5.0,W NN dan pasar,,,,,
80,5.0,Kompas memberi informasi baik,1.0,,,,
81,5.0,Bisa cepat mengetahui berita,1.0,,,,
82,5.0,Berita selali U apdet,1.0,,,,
83,3.0,Berita teraktual sajikan.pada says,,,,,
84,5.0,Sangat puas dengan gojek,,,,,
85,5.0,"Pasti,aktual dan terpercaya.Terima Kasih.",1.0,,,,
86,5.0,Akurat dan berimbang 👍⭐⭐⭐⭐⭐,1.0,,,,
87,2.0,Voucher nggak bisa dipakai,,-1.0,,,
88,4.0,"Akurat, independen dan akuntable",1.0,,,,
89,5.0,Salah satu referensi terpercaya,1.0,,,,
90,4.0,Tertarik dengan update nya,,,,,
91,1.0,Jadilah media yang kredibel,0.0,,,,
92,1.0,Cukup ini aja dulu,,,,,
93,4.0,Media informasi yg terbaik,1.0,,,,
94,5.0,Dapat mengikuti berita-berita terkini,1.0,,,,
95,5.0,PT Kompas Media Nusantara,,,,,
96,5.0,Cukup memuaskan dengan beritanya,1.0,,,,
97,5.0,"kompat akurat,padat dn terpercaya",1.0,,,,
98,1.0,kompas berita kurang terupdate,-1.0,,,,
99,5.0,Kompas beritanya dapat dipercaya.,1.0,,,,
100,5.0,kabar terkini tentang pilpres,,,,,
101,5.0,mabtabbbb tab tab puasdss,,,,,
102,2.0,Tidak bisa memutar suara,,,,-1.0,
103,1.0,banyak berita hoak palsu,-1.0,,,,
104,3.0,Sy ingin berita gratis,,0.0,,,
105,5.0,Berita up to date,1.0,,,,
106,4.0,Semoga beritanya selalu update,0.0,,,,
107,5.0,Informasi sangatlah dibutuhkan 😊,,,,,
108,5.0,Berita Netral dan akurat,1.0,,,,
109,5.0,Jangan dibuat ribet ajaa,,,,,
110,5.0,Lumayan buat waktu senggang,,,,,
111,4.0,it's work..promonya agar diperpanjang.,,0.0,,,
112,5.0,Harian Kompas luar biasa,1.0,,,,
113,5.0,Mantab... kontennya makin premium,1.0,,,,
114,5.0,Beritanya terbaru dan terpercaya,1.0,,,,
115,4.0,Kompas top banget dah,,,,,
116,1.0,Auto hide tidak tampil,,,,,-1.0
117,5.0,"Artikel-artikel berkualitas, harga murah.",1.0,,,,
118,5.0,Awesome 👏 kompas 👏❤️,,,,,
119,5.0,ka olin mirip pantun,,,,,
120,1.0,sering error. mohon diperbaiki,,,,,-1.0
121,5.0,Dan nyaman dengan iPad,,,,,
122,2.0,Belum bisa back menu,,,,,-1.0
123,5.0,terimakasih sudah memberikan informasi ketika dmn yg lain hanya diam,1.0,,,,
124,4.0,saat ini 6 juni 2026 pkl 10.00 wib sampai sekarang kenapa tidak bisa buka kompas ya ?,,,,,-1.0
125,1.0,ga bisa baca berita kalo ga bayar,,0.0,,,
126,1.0,aplikasi kikir jangan di download 😡,,-1.0,,,
127,1.0,"Jelek bet, cuma buat buka berita harus bayar, gak jelas🤬🤬",,-1.0,,,
128,2.0,"dicoba dulu.. kalo ribet use nya, bye..hapuzz!",,,,,
129,2.0,lagi bermasalah ya aplikasinya? kok ga bisa login dan ga tampil di tiap rubrik berita2nya,,,,,-1.0
130,1.0,"ga bisa di baca, lama loading nya",,,,,-1.0
131,5.0,"Mencerdaskan, Tepercaya dan Memperluas Wawasan. 👍",1.0,,,,
132,1.0,gak sesuai dengan iklannya di produk google play store,,,,,
133,1.0,"enggk bisa di kliping ya, sedikit kecewa setelah kita dowload teryata enggk bisa di simpen ketika sudah tidak berlangganan",,,,-1.0,
134,5.0,Aku lihat sih beritanya lengkap 😊😇🙏,1.0,,,,
135,5.0,Saran.. supaya bisa kompas.id dibaca secara layar landscape,,,0.0,,
136,2.0,apa harus langganan untuk baca berita?,,0.0,,,
137,3.0,absolute cinema kembangkan lebih bagus lagi,,,,,
138,5.0,lansia sangat membutuhkan berita terimakasih Kompas,,,,,
139,2.0,Sering kelogout sendiri dan masuknya susah.,,,,,-1.0
140,5.0,best on the best nwes,1.0,,,,
141,4.0,"Sangat enak dibaca nggak pake mikir, langsung dicerna",1.0,,,,
142,5.0,Tetap S3mangat Kompas meningkatkan literasi indonesia,,,,,
143,4.0,saya selalu tertarik dengan tulisan tulisan orang hebat yg dimuat oleh kompas.id. faktual dan aktual.,1.0,,,,
144,5.0,"Aktual, faktual, terpercaya, dan tidak memancing opini publik.",1.0,,,,
145,1.0,"KECEWA BERLANGGANAN, seharusnya kompas biasa dan kompas .id gak perlu dipisah2 aksesnya. Bisa aja akal2in cari duitnya",,-1.0,,,
146,5.0,Mohon untuk ada optimalisasi tampilan vertikal tab. Terimakasih,,,-1.0,,
147,4.0,"sejak thn1981 diMedan.. sy sdh baca harian kompas, .... karena bs melengkapi kliping koran sy u literatur",,,,,
148,1.0,"berita tidak update,, saya cari artikel tentang teknologi, berita yg mucul 3 bulan lalu",-1.0,,,,
149,5.0,"aplikasi berita yang sangat menarik, interface yg sangat ringan dan bener2 bermanfaat bgt",,,1.0,,
150,1.0,"Kebanyakan iklan, beritanya ngak berlanjut hanya sepenggal",,-1.0,-1.0,,
151,1.0,Aplikasi paling gagal yg pernah aku instalm,,,,,
152,5.0,Saya baru berlangganan untuk setahun murah banget dengan harga 139.000 saja. Akhirnya saya bisa baca opini dengan leluasan,,1.0,,,
153,2.0,Jangan download berita berbayar semua cari duit,,-1.0,,,
154,5.0,I love this. kalau harganya tetap 100 ribu per tahun bakalan tetap langganan.,,1.0,,,
155,5.0,Kompas tetap yang terbaik dan terpercaya,1.0,,,,
156,4.0,di hp samsung epaper tidak bisa dibaca secara horosontal,,,,-1.0,
157,4.0,next smoga ada pilihan suara g transate.. bosen cuman itu²,,,,0.0,
158,5.0,Bagus beritanya utk mengisi otak yg kosong.,1.0,,,,
159,3.0,ada bagian tertentu yang tombol audionya gk keliatan kak,,,,-1.0,
160,5.0,"gacor, semoga bisa memberikan Pendidikan kepada penulis-penulis muda. terutama yang memiliki keterbatasan.",,,,,
161,5.0,"sangat mudah digunakan, berita mendalam",1.0,,1.0,,
162,5.0,"Bernas, selalu peduli dengan masalah aktual dengan analisa yang mengedepankan nilai-nilai kemanusiaan.",1.0,,,,
163,5.0,"Aplikasi sangat bagus, lengkap. CS sangat cepat dalam merespon. Terima kasih",,,,,1.0
164,4.0,Kompas sebuah nama media cetak & elektronik yang tidak asing lagi pemberitaannya tajam terpercaya dan berimbang.,1.0,,,,
165,4.0,Akses berita aktual dan terpercaya dari Kompas,1.0,,,,
166,5.0,"Lebih update dengan isu-isu aktual. Keren sih. Tampilannya juga enak, easy reading lah",1.0,,1.0,,
167,5.0,Sangat bagus dan sangat bermanfaat.,,,,,
168,5.0,informasi yg mantab terpercaya mendidik masa depan kita,1.0,,,,
169,5.0,cerdas menyikapi peristiwa dengan sumber referensi terpercaya,1.0,,,,
170,5.0,Kompas.id : Baca Berita Lengkap Aplikasi Terbaik 💯,,,,,
171,5.0,"ok baru nyoba... isi berita nya bagus, berkualitas. aplikasi nya nyaman digunakan, user friendly.",1.0,,1.0,,
172,5.0,"Mudah2 an Kompas bisa tetap berusaha berpikir kritis demi kebaikan, keadilan & kemakmuran bersama/masyarakat Indonesia.",,,,,
173,5.0,Membaca berita jadi lebih mudah,,,1.0,,
174,5.0,"kompas independen dan terpercaya ,",1.0,,,,
175,5.0,good time good read best newspaper,1.0,,,,
176,5.0,Kompas.id menyajikan berita yg up to date dan terpercaya.,1.0,,,,
177,4.0,"perlu perbaikan perihal menampilkan gambar pada artikel. jika di zoom, seringkali malah pindah ke gambar berikutnya.",,,-1.0,,
178,1.0,"Kebanyakan bug, artikel suka balik sendiri ke awal menu. CS nya sama sekali tdk kooperatif. Sdh kayak paling bener aja.",,,,,-1.0
179,5.0,Kok aku nggak bisa mendownload koran kompas ?,,,,-1.0,
180,5.0,"Keren, bahkan ada audionya kalau kita pengen denger berita saat gak pegang smartphone.",,,,1.0,
181,5.0,Selalu menikmati membaca berita di kompas.id karena berita yang disajikan update dan akurat,1.0,,,,
182,5.0,Aplikasi ini juga sangat bagus sekali untuk digunakan sebagai pengganti koran,,,,,
183,4.0,sy kasi bintang 4 tar kalo bgs tak tambai mks,,,,,
184,1.0,segala pakai berbayar buat baca berita aja.di buat gratis aja baca berita nya. biar masyarakat Indonesia semua gemar membaca.,,-1.0,,,
185,1.0,Infonya gk akuat. Malu2 in aja,-1.0,,,,
186,4.0,"baru gabung, sementara bintang 4 dl",,,,,
187,5.0,Dengan cara Ini saya rasa lebihmenarik dan cepat,,,,,
188,5.0,berita yang cepat dan bisa di percaya,1.0,,,,
189,1.0,Belum bisa dikatakan netral dalam hal pemberitaan. masih keberpihakan sebelah. itu intinya.,-1.0,,,,
190,5.0,"sangat membantu untuk mengupdate berita terkini, sayang nya harus berlangganan",1.0,0.0,,,
191,3.0,Ulasannya bagus manambah pengalaman bagi kita,1.0,,,,
192,5.0,interface halamannya enak dibaca dan suka dengan fitur text to speech,,,1.0,1.0,
193,5.0,semua informasi ada dalam genggaman,,,,,
194,5.0,Permis mau bertny apakah bisa print ya koran e paapernya,,,,0.0,
195,5.0,best for search a news update,1.0,,,,
196,2.0,"Kalau boleh saran,seharusnya kalau kami mau membaca buku/artikel tidak usah berbayar,supaya orang yang ingin berliterasi tidak harus ada hambatan",,-1.0,,,
197,5.0,"Up date kok,meski 5 W dan I H layak terus di jadikan ajangNya",1.0,,,,
198,5.0,Jelas dan bagus untuk berita,1.0,,,,
199,1.0,"Lumayan bagus, maaf baru buka",,,,,
200,5.0,Berhubung saya harus bayar setengah juta saya hapus,,-1.0,,,
201,5.0,"Asal jangan memprsilit aja tak masalah,",,,,,
202,5.0,Sangat membatu sekali semoga makin bagus lagi kedepan nya,,,,,
203,5.0,aplikasinya bagus untuk membaca berita,,,,,
204,5.0,Mantap bisa membantu untuk melihat kejadian dunia.,,,,,
205,5.0,"di bagian fotografi kenapa gak dipisahkan foto cerita, galeri foto dan klinik foto..? seperti di web, lebih enak..",,,,0.0,
206,5.0,Makin keren dengan berita tepercaya dan bisa diandalkan,1.0,,,,
207,5.0,"ada format koran cetak, sangat menarik",,,,1.0,
208,2.0,Kenapa tidak bisa berlanggann yah...? Mungkin bisa kasih solusi.. ?,,,,,
209,5.0,"DL cepat, simpel buat bacaan harian dimana saja bisa dilakukan",,,,,1.0
210,5.0,berita-beritanya sangat update dan faktual disertai data-data yg sangat akurat....ulasannya menarik dan mendalam...,1.0,,,,
211,5.0,Kompas sangat bagus beri infor Masi,1.0,,,,
212,2.0,Aku beri nilai dua bintang dulu nanti kalau hasilnya baik aku kasih tambah nilai lagi,,,,,
213,5.0,"Jurnalisme bermutu dan kritis, mantap, maju terus KOMPAS.",1.0,,,,
214,5.0,Menyajikan berita secara faktual dan aktual.,1.0,,,,
215,4.0,aplikasinya sangat bagus dan efisien dalam memberikan informasi dari dalam dan luar negeri,1.0,,,,1.0
216,5.0,"Tercepat, akurat, dan terdepan 👉",1.0,,,,
217,1.0,"Terlalu mahal, perbulan 50k, mending beli quota cuma 20k",,-1.0,,,
218,3.0,memuat berita berta yang akurat,1.0,,,,
219,5.0,Media yg baik dan objektif,1.0,,,,
220,5.0,kompas sangat memperbarui pengetahuan 👍,1.0,,,,
221,5.0,"Kompas menyajikan berita aktual, tajam terpercaya, Bravo Kompas🙏",1.0,,,,
222,5.0,berita terupdate sehingga menjadi sumber informasi yang akurat dalam mendapatkan informasi dan berita terbaru.,1.0,,,,
223,2.0,Saya bisa tau semua berita,,,,,
224,5.0,Terimakasih untuk informasi yang selalu valid kompas..,1.0,,,,
225,5.0,kompas termasuk media yang memberikan informasi terpercaya,1.0,,,,
226,5.0,"Baru mulai berlangganan, tampilan aplikasi lumayan bagus",,0.0,1.0,,
227,5.0,fitur2nya sangat mudah dipahami bagi awam.,,,,1.0,
228,2.0,Berita nya kok gk lengkap,-1.0,,,,
229,5.0,berita yang sangat akurat dan independen,1.0,,,,
230,5.0,sangat membantu .tetap evaluasi agar lbh baik lg,,,,,
231,5.0,"Untuk news sudah bagus sekali, di harapkan supaya aplikasi ini bisa di baca gratis.",1.0,0.0,,,
232,5.0,liputan nasional nya update dan bagus .,1.0,,,,
233,5.0,Wow keren banget. Bisa mendapatkan banyak informasi dari aplikasi ini,,,,,
234,1.0,"Uninstall, mau baca aja disuruh langganan. Masih ada situs berita online yang gratis.",,-1.0,,,
235,3.0,Kompas Id mantap. Semoga lebih ditingkatkan lagi untuk fiturnya.,,,,0.0,
236,4.0,"Tampilan sangat enak dibaca, hanya saja mesin pencarian berita bisa lebih baik. Tidak ada filter untuk mengetahui berita paling populer/terbaru.",,,1.0,-1.0,
237,5.0,Melihat membaca dan mendengarkan acara di Kompas dengan baik.,,,,,
238,5.0,Bisa baca berita tanpa diganggu iklan,,1.0,,,
239,5.0,sangat bermanfaat... semoga berita update terus setiap saat..,1.0,,,,
240,5.0,"Kompas adalah media informasi terbaik menurut saya, saya membacanya sejak dari koran, sekarang online media, informasi terbaik mantap terpercaya.",1.0,,,,
241,5.0,*KOMPAS* sekarang bisa ketemui lewat kang _ANDROID_ digunung gunung terima kasih KOMPAS,,,,,
242,5.0,Beritanya lengkap dan up to date,1.0,,,,
243,5.0,Terpercaya dan terdepan dalam penyampaian berita.,1.0,,,,
244,5.0,Beritanya sangat akurat lugas & dg bahasanya sangat di pahami semua kalangan👍🏽,1.0,,,,
245,4.0,keren mudah dimengerti bahasa beritanya,1.0,,,,
246,3.0,Memnberikan informasi cepat dan akurat,1.0,,,,
247,1.0,Mau berlangganan tapi mekanisme pembayarannya kurang lancar,,-1.0,,,
248,5.0,bagus . beritanya aktual . semoga makin sukses . 👍,1.0,,,,
249,5.0,"Aplikasi nya bagus, tidak ada masalah dan sangat lancar saat digunakan.",,,,,1.0
250,5.0,"Keren bgt Kompas, sering2 promo langganan. Suka dgn berita2 ulasan yg lengkap dan detail",1.0,1.0,,,
251,5.0,menarik dan memperkaya wawasan semoga tetap independent kompas,1.0,,,,
252,1.0,"Kenapa bayar utk membaca, ngak mampu ya",,-1.0,,,
253,5.0,Ampliksai ini pasang saja saya beri reting bintang lima Amplikasi,,,,,
254,5.0,berita yg sangat uptudate dan independen,1.0,,,,
255,5.0,"Untuk Developer Harian Kompas. Kompas.id : Baca Berita Lengkap Sangat Bermanfaat, Terus Tingkatkan Fitur Dan Kualitas Di Dalam Aplikasi.",,,,,
256,1.0,saya sudah bayar berlangganan tetapi tidak bisa akses,,,,,-1.0
257,1.0,Masak pencarian berita nggak urut dari yang terbaru,,,,-1.0,
258,5.0,Alhamdu Lillah Semoga Mengerti Aamiiin,,,,,
259,2.0,"Ga usah pake pake email dan kata sandi boss...saya baru, kalo pake ginian lebih baik keluar maaaff",,,,,-1.0
260,5.0,"GOOD Apps, ada e paper yg 100 % sama dgn koran fisik, dan info² ter update",1.0,,,1.0,
261,1.0,"mau baca cerpen karya sastra aja harus berlangganan, makin terbatas ya sekarang",,-1.0,,,
262,5.0,"Saya adalah pelanggan setia Kompas.id, bagus beritanya",1.0,,,,
263,4.0,Harus mbayar user gratisan jangan download,,-1.0,,,
264,4.0,Aplikasi ini sangat penting dalam proses mengikuti perkembangan informasi nasional,1.0,,,,
265,5.0,"Kerenn,,bisa dpt berita setiap hari lewat kompas gak perlu beli koran",1.0,,,,
266,5.0,ulasan kompas sangat enak dibaca dan dicerna. tampilan digital menarik dan e-paper nya selayaknya baca koran kompas spt dulu.,1.0,,1.0,,
267,1.0,Kasih free trial kek 3 hari minimal biar ngerasain suka atau enggaknya dengan app-nya,,0.0,,,
268,5.0,"Berita Update, penulisan & penyampaian terukur serta terarah..recommended u/ berlangganan berita era digital saat ini",1.0,,,,
269,5.0,Ini bagus banget. Bagus untuk kita menambah wawasan pengetahuan kita,1.0,,,,
270,5.0,banyak ilmu yang bermanfaat. terima kasih Kompas,1.0,,,,
271,5.0,"Bacaan dari usia SMA, blm tergantikan",,,,,
272,5.0,Kompas selalu menjadi pilihan utama,,,,,
273,5.0,Terimakasih untuk segala pengalaman yang telah jauh membawa saya dalam pengajaran,,,,,
274,5.0,Satu kata utk Kompas.id: keren,,,,,
275,5.0,"Apapun medianya, Kompas masih bisa disebut salah satu barometer jurnalik Indonesia, selamat.",1.0,,,,
276,1.0,Tidak bisa bantu ya buka,,,,,-1.0
277,5.0,berita dan featurenya bagus dan mendalam. sering muncul berita investigasi yg mendalam dan berbeda dari lainnya. benar2 jurnalisme berkualitas.,1.0,,,,
278,5.0,"Memperoleh informasi terbaru, dapat dipercaya dan semua aspek kehidupan dengan mudah.",1.0,,,,
279,4.0,Beritanya selaku aktual sesuai facta,1.0,,,,
280,5.0,Ingin gabung sebagai pembawa perubahan untuk berita-berita bermanfaat.,,,,,
281,5.0,tetap menjunjung tinggi kerahasiaan data pribadi,,,,,
282,5.0,Keluhan langsung ditindak lanjuti.. mantap 👍,,,,,1.0
283,5.0,"saatnya baca berita yg akurat, terpercaya,..",1.0,,,,
284,4.0,"ok bagus berita nya,,, lanjutkan saja,,,siiip..josss",1.0,,,,
285,3.0,Kito cobo mace kak berita sape tau ade paeda ee,,,,,
286,5.0,"Mendalam, berimbang, dan mendudukan persoalan untuk mendapatkan solusi tanpa menghakimi pihak2 yg menciptakan persoalan.",1.0,,,,
287,5.0,Wawasan makin bertambah klo baca Kompas,1.0,,,,
288,5.0,Ter..update dan bisa dipercaya dr zaman koran ya nice,1.0,,,,
289,5.0,Google the best mohon bantuan agar lancar,,,,,
290,5.0,Memang kt.perlu angkat jempol buat Kompas berita yg akurat dan terukur..selamat buat Koompas ya?,1.0,,,,
291,4.0,"Beritanya tersajih lebih lengkap,saran kalau bisa sertakan video pendeknya",1.0,,,,
292,4.0,udah bagus... perlu lebih di sempurnakan.,,,,,
293,5.0,Saya kasi bintang 5 👍,,,,,
294,5.0,apk nya bagus banget sampe mau kayang,,,,,
295,5.0,"Puas, dg isi berita terpercaya",1.0,,,,
296,1.0,Berbayar mending baca di tempat lain,,-1.0,,,
297,5.0,"Mendapatkan informasi yg lengkap setiap pagi dari politik, ekonomi, olah raga dan apa yg menjadi issue yg terbaru.",1.0,,,,
298,5.0,"Berita nya akurat, enak dibaca",1.0,,,,
299,5.0,iaaa bagus agar tau berita lewat kompas,,,,,
300,5.0,ditambah lagi dong ulasan berita daerah Jawa Tengah.,0.0,,,,
301,4.0,coba dulu. Bagus no uninstal dan tamba bintang.,,,,,
302,1.0,"baca berita aja bayar harus langganan, gimana mau pintar masyarakatnya",,-1.0,,,
303,5.0,"karena sy seneng baca berita,jd ya mantap bngt ini apl,ga bakal kètinggalan informasi👍",,,,,
304,1.0,Baca berita model malam lebih sehat untuk mata tapi ini bukan kurang sip,,,-1.0,,
305,1.0,"Mau baca berita aja berbayar??? Lebih baik cari cara lain,di internet sekarang banyak cara dan gak bayar.",,-1.0,,,
306,5.0,Sangat membantu aktivitas kami. thanks,,,,,
307,5.0,Tetaplah menjadi media yang netral (tidak memihak) dan profesional.,,,,,
308,5.0,Kompas.id.baca Berita lengkap.:Amplikasi yang seperti ini saya pasang Amplikasi ini saya beri reting bintang lima,,,,,
309,2.0,Percuma ada aplikasi kalo mau baca masih dilempar ke browser webview,,,,,-1.0
310,5.0,"berita update. ulasan berimbang, dapat dipercaya, dan memperkaya wawasan. bukan sekadar clickbait. bahasanya pun bagus.",1.0,,,,
311,1.0,"Saya unisntal aplikas kompas... banyak aplikasi lain yg gk mintak berlangganan baca artikelnya ...seperti detik, republika dll.",,-1.0,,,
312,5.0,beritanya sangat aktual dan terpercaya,1.0,,,,
313,4.0,"Baik juga, cuman beritanya kurang akurat..",-1.0,,,,
314,5.0,"Pimpinan kompas, almarhum bp yacob utama sgt tinggi perhatian kpd karyawannya, sy kagum kepadanys",,,,,
315,1.0,Jadi ini ya media nasional sialan itu yg suka blackcampaign pak anies,-1.0,,,,
316,5.0,Bagus banget rekemond buat baca koran and apknya gratis topo deh buat kompas.id👍,1.0,,,,
317,1.0,KOMPAS Punya dendam apaan ama pak Anis,-1.0,,,,
318,1.0,Parah sih kompas. Gak nyambung antara foto sama beritanya. Bawa ke Dewan Pers aja pak.,-1.0,,,,
319,1.0,Pengen kasih bintang 1 aja boleh kan,,,,,
320,5.0,Merawat jurnalisme dengan pemberitaan yang berkualitas.,1.0,,,,
321,5.0,"Yaaxchaa kalau cari berita yang terhangat dan terpercaya disini ni , Aplikasi ini tempatnya,",1.0,,,,
322,5.0,keren aplikasinya. baca berita nya lengkap,1.0,,,,
323,5.0,"Mantap Kompas, selalu berinovasi. Konten berkualitas terus semakin mudah diakses!",1.0,,,,
324,5.0,"Aplikasi bagus, meskipun kadang kadang saat memperpanjang langganan, kadang kadang ada masalah, sehingga harus menghubungi Costumer Service",,,,,
325,5.0,Masya allah aplikasinya bagus untuk pembaca berita dan terjamin kualitasnya insya allah,1.0,,,,
326,5.0,Lebih lengkap dan lebih informatif,1.0,,,,
327,3.0,Saya suka dengan Harian Kompas,,,,,
328,5.0,Semakin update dg berita terkini.,1.0,,,,
329,5.0,"Memang beda, konsisten menyajikan fakta dan data. Thanks",1.0,,,,
330,5.0,Kompas berita independen teraktual dan profesional,1.0,,,,
331,5.0,Kompas. Id untuk tahu berita yang menarik. Selengkapnya saya baca Koran Kompas yang mana kami sudah berlangganan sejak 1973. Terimakasih.,,,,,
332,5.0,inisangat membantu sy trutama mendptkan berita ygup tothat.sysangat butuhdhn beritaataunews ygterbaru jelasnarasumbernya dandpt dipercaya.,1.0,,,,
333,4.0,"Sudah pilih opsi berlangganan, sudah konfirmasi berlangganan, tapi di aplikasi masih belum berlangganan.",,,,,-1.0
334,5.0,"Syam sul bahrieon,,alham Dulilah terimakasih",,,,,
335,4.0,Cukup baik berita nya namun tingkatkan lagi yg lebih update 😊,0.0,,,,
336,5.0,Untk mengetahui berita2 terpenting dalam kehidupan sehari-hari dan juga bisa digunakan sebagai alat bantu.,1.0,,,,
337,1.0,"Berita nya gak update apalagi tentang club sepakbola. Tidak ada update transfer pemain, isu transfer.",-1.0,,,,
338,5.0,Aplikasi ini bisa menjadi referensi untuk baca berita dari Indonesia lho!,1.0,,,,
339,5.0,Aplikasi mudah digunakan dan isi berita update terpercaya,1.0,,,,
340,1.0,Sudah berlangganan berbayar. Tapi fitur premium tidak aktif. Tolong diberesin dong. Ada bugs di aplikasi.,,,,,-1.0
341,1.0,Teramat sangat tidak memuaskan sekali,,,,,
342,1.0,"harus bayar, tidak ada versi trial. kita mau baca berita offline",,-1.0,,,
343,1.0,Sangat baik dimana kita berada bisa ngikutin berita,,,,,
344,1.0,Webnya full iklan. Jijik lihatnya. Cari duit ampe begitunya amat. Tolol tim kalian.,,-1.0,-1.0,,
345,2.0,Daftar akun kompas.id langsung di spam promo investasi dong nomer WA kuh?kok bisa?,,,,,-1.0
346,1.0,Ribet bacanya. Krng praktis tata letak dlm setiap rubrik,,,-1.0,,
347,5.0,Seperti membaca koran Kompas sesungguhnya....,,,,,
348,5.0,Baca ungkapan kompas.id jadi saya senang untuk melihatnya terima kasih kompas.id,,,,,
349,4.0,"Beritanya akurat, sederhana dan jelas",1.0,,,,
350,5.0,"Kompatibel dan mudah digunakan, perlu ditingkatkan terus.",,,1.0,,
351,5.0,Paling ditunggu kompas minggu cerpen dan TTS ya yg sangat menghibur..,,,,1.0,
352,5.0,"Sangat membantu dalam membaca koran Kompas, tanpa harus membeli koran fisik",,,,,
